Marca temporal,Dirección de correo electrónico,Nombre Completo ,Matrícula ,¿Qué carrera estudias? (SIGLAS),Semestre ,Estatus amoroso,Me gustaría que me emparejaran con...,Género,¿Con cuáles pronombres te identificas?,¿Qué edad tienes?,¿Saldrías con alguien MAYOR que tú? ,¿Saldrías con alguien MENOR que tú? ,¿Qué estas buscando?,Breve descripción sobre ti.,¿Qué tipo de película te gusta más?,¿Qué género musical es el que más te gusta escuchar?,¿Te gusta el anime?,¿Te gustan los videojuegos?,¿Te gusta bailar ?,¿Eres un fan de algún deporte?,¿Qué taco serías?,¿Con qué personaje de The Big Bang Theory te identificas más?,"Si pudieras convertirte en una de los siguientes animales, ¿Cuál serías?",Si solamente pudieras comer este sabor de helado por el resto de tu vida ¿Cuál escogerías?,Si pudieras eliminar una de las siguientes celebraciones ¿Cuál sería? ,¿Qué estación del año prefieres?,¿Te gusta la pizza con piña?,"¿Para ti, una cita ideal en que lugar sería?",¿Crees en la astrología y los Signos Zodiacales?,¿Cuál es tu signo del zodiaco? ,¿Te gusta cocinar?,¿Te gusta que te cocinen?,¿Te gustan más los perros o los gatos?,¿Generalmente prefieres la adaptación de la película o los libros?,¿Cuando ves una película la ves doblada o subtitulada?,¿Te gusta más el frio o el calor?,¿Con que tiburón de Shark Tank México te gustaría empezar un negocio?,De los siguientes superpoderes ¿Cuál te gustaría tener más?,¿Cuál de estas características es la que más buscas en una pareja?,¿Cuál de estas características es la que más te define?,Username de Instagram (Ej. @juanito_hdz),Número celular y/o Whatsapp,Username de Twitter (Ej. @juanito_hdz),Algún otro medio de contacto.,
40,mail41,Name41,mat41,LEC,2,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,Sí,Amistad,"Algo introvertido, una vez que me conoces me siento más cómodo.
Me gustan los videojuegos, matemáticas, música (toco guitarra, batería y bajo) y mi dream job es como Invesment Banker (me encantan las finanzas).
",Suspenso,"Instrumental, Rock",No,Sí,No,Futbol,Barbacoa,Sheldon,Lobo,Caramelo,Día de muertos,Invierno,No,"Tengo novia lul, creo que no aplica sin sesgarme. Me gusta mucho cocinar, entonces en alguna de las dos casas, a cocinar algo",No,Virgo,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Rodrigo Herrera,Manipular el tiempo,Inteligencia,Inteligente,insta41,tel41,twitter41,.,
41,mail42,Name42,mat42,IDS,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,"No se como contestar esta pregunta, pero pues soy una persona a la que le gustan los gatos y la robótica (FIRST). Me describiría como alguien organizada,  responsable y dedicada... wow suena bien nerd creo que se nota porque estoy buscando amigos. En fin, me encantan las películas de Pixar, Harry Potter, Percy Jackson, TBBT y THG. Y pues estoy buscando amigos se me hace muy complicado hacerlos. ",Comedia,"Pop, Instrumental",No,No,No,No,Canasta-/Al vapor,Sheldon,Lobo,Vanilla,San Valentín,Otoño,Sí,"No se, no lo he pensado. Pero seguramente algún parque o área al aire libre ",No,Capricornio,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Arturo Elías Ayub,Telepatía,Inteligencia,Perseverante,insta42,tel42,twitter42,.,
42,mail43,Name43,mat43,LDI,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,Soy Pao tengo 19 años los acabo de cumplir en Enero. Soy tímida al principio pero cuando agarro confianza soy chida. :),Terror,"Pop, Instrumental, Kpop",Sí,Sí,"Sí, pero no sé bailar",No,Barbacoa,Ninguno,Pato,Cookies and cream,Día de la Independencia,Otoño,No,Cualquier lugar menos el cine,No,Acuario,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Telepatía,Respeto,Cariños@,insta43,tel43,twitter43,.,
43,mail44,Name44,mat44,LDO,1,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,"ola JAJAJAJ um okay soy muy tímida con gente pero me encanta estar con amigas en que confio, cuando estoy con ellas soy un meme. 
Mis amigos me describen como un girasol, aparte de que sea mi flor favorita, soy muy cariñosa y gentil, respeto a los demás como me gustaría que me respetaran, soy proaborto, i support BLM, yo respeto a todas las personas como ellos son y hasta puedo usar pronombres con ellos.
Me gusta el anime y el manga, puedo decir que no huelo feo jajaja, lo que me encanta de ellos es la animación y la trama en ellos, mis favoritos son attack on titan, demon slayer, boku no hero academia, Jujutsu kaisen y noragami, he visto animes desde octavo y todavía me encantan.
Antes solía leer muchos libros de romance pero ahora ya no soy tan fan, ahora he descubierto muchos de peleas o science fiction y me encantan esos.
No soy tan popular y tampoco me gustaría serlo, me encanta como es mi personalidad y mis amigos, no necesito un rank para describirme.
Tengo novio, su nombre es sebastián, todos le dicen que es un simp pero JAJAJ un simp es alguien que le importas y alguien que te ama tanto y para ser honesta el me trata como reina, y ya vamos a cumplir 1 año este febrero.",Terror,"Pop, Cumbia, Kpop",Sí,Sí,Sí,Tennis,Pastor,Raj,Pato,Napolitano,Día de la Independencia,Primavera,No,"Picnic, pero busco amigos JAJAJA",Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Respeto,Cariños@,insta44,tel44,twitter44,.,
44,mail45,Name45,mat45,LAD,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,"Soy una persona que se tarda en poder hablar casual con alguien y poder considerarlos amigos. Me gustan las series live action y animadas al igual que los libros y los comics. Me gusta ver peliculas con amigos y solo platicar de lo que sea. No tomo y no me gusta mucho ir a fiestas, prefiero estar en un ambiente más casual. Also, ODIO el reguetón.",Acción,"Pop, Instrumental, Rock",Sí,Sí,"Sí, pero no sé bailar","Basquetbol, Otro",Pastor,Ninguno,Tigre,Caramelo,San Valentín,Otoño,No,En el cine o en un lugar no muy romantico.,No,Piscis,No,No,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Manipular el tiempo,Fidelidad,Fiel,insta45,tel45,twitter45,.,
45,mail46,Name46,mat46,LIN,2,Soltero,Estoy aquí en busca de amigxs,Masculino,Él,19,Sí,No,Amistad,"Me apasiona el conocimiento, y lo utilizo para el desarrollo de proyectos tecnológicos en áreas como la justicia, educación, economía y seguridad con el propósito de descentralizar las funciones del Estado. Me gusta leer, el ajedrez, ver anime y los videojuegos.",Suspenso,"Instrumental, Rock",Sí,Sí,No,Otro,Carne asada,Sheldon,Pato,Chocolate,Spring Break,Verano,No,En casa.,No,Tauro,Sí,Sí,Perros,Libro,Subtitulada,Calor,Carlos Bremer,Manipular el tiempo,Perseverancia,Perseverante,insta46,tel46,twitter46,.,
46,mail47,Name47,mat47,IFI ,3,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,"Soy una chava de risa estruendosa y que le gusta ver la vida de forma positiva a pesar de los problemas.
¡Me encanta aprender cosas nuevas! ",Romance,"Pop, Instrumental, Rock",Sí,Sí,"Sí, pero no sé bailar",Otro,Pastor,Amy,Pingüino,Cookies and cream,Halloween,Verano,No,En un lugar con música en vivo ,No,Libra,Sí,Sí,Perros,Libro,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Perseverancia,Alegre,insta47,tel47,twitter47,.,
47,mail48,Name48,mat48,IDS,7,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,"Soy una persona amigable, me gusta cantar y tocar piano, trabajo, me gustan los animales y soy fan de Reik",Comedia,"Pop, Instrumental, Rock, Reggaeton, Banda",No,Sí,"Sí, pero no sé bailar",Futbol,Guisos,Bernadette,Ballena,Chocolate,Spring Break,Otoño,Sí,Cine,No,Escorpio,Sí,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Volar,Diversión,Inteligente,insta48,tel48,twitter48,.,
48,mail49,Name49,mat49,LIN,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,"Tengo novio pero nadamas estoy aqui por el ocio, me gustaria encontrar amigos ya que por la pandemia esta cañon encontrar nuevos amigos. Soy divertida y sigo el pedo en todo ;)",Romance,"Pop, Reggaeton",No,No,"Sí, pero no sé bailar",Futbol,Carne asada,Penny,Pato,Cookies and cream,Día de la Independencia,Otoño,Sí,picnic en la playa,Sí,Piscis,No,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Dinero como el batman,Confianza,Empátic@,insta49,tel49,twitter49,.,
49,mail50,Name50,mat50,IC,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,Sí,Amistad,"Soy una persona super platicadora y risueña, tengo muchos temas de conversación y me encanta ver muchas películas. Me gusta mucho conocer gente nueva y me puedo llevar con casi cualquier tipo de persona. Amo los perritos y los juegos de mesa. Soy de Monterrey y aquí he vivido toda mi vida. Me gusta cocinar postres, leer, ir al cine, probar restaurantes nuevos y la naturaleza. ",Comedia,"Pop, Rock, Reggaeton, Banda",Sí,Sí,"Sí, pero no sé bailar","Futbol, Basquetbol, Baseball",Carne asada,Ninguno,Pingüino,Chocolate,Día de muertos,Otoño,No,"Lo improtante es la persona pero siempre es bueno hacer algo divertido como hacer un picnic, gokarts, hacer algun deporte, parque de diversiones, restaurantes nuevos",Sí,Piscis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Arturo Elías Ayub,Dinero como el batman,Empatía,Cariños@,insta50,tel50,twitter50,.,
50,mail51,Name51,mat51,IQ,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Me gusta mucho bailar y leer, tengo 3 gatos y los quiero mucho. Me gusta ver series y películas. Me gusta jugar juegos de mesa, cantar, pintar y platicar sobre cualquier cosa. Mi cantante favorito es Pablo Alborán. Amo Disney, Harry Potter y me encanta ver romcoms. Mi comida favorita son los tacos y amo el chocolate. ",Romance,"Pop, Reggaeton, Cumbia",No,No,Sí,No,Pastor,Ninguno,Lobo,Napolitano,Día de la Independencia,Otoño,No,"En un mercadito como de artesanías, como un bazar y comer churros ",Sí,Sagitario,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Confianza,Alegre,insta51,tel51,twitter51,.,
51,mail52,Name52,mat52,IBT,1,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,No binarix,Ella,19,Sí,Sí,Amistad,"Me llaman tobias o toby, tengo tres gatos a los que quiero mucho. Estoy en una relación actualmente y estoy muy feliz con ella. Tengo interés en la costura, moda, anime, doctor who, ciencia, y otras cosas. Me gustaría encontrar amigxs",Drama,"Pop, Rock, Metal",Sí,Sí,Sí,No,Pastor,Ninguno,Pingüino,Vanilla,Día de la Independencia,Invierno,No,Un picnic con comida deli y pastel. En donde jugáramos ajedrez o algún juego de mesa y después fuéramos a ver una serie. Después jugar minecraft:/,No,Acuario,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Arturo Elías Ayub,Manipular el tiempo,Confianza,Fiel,insta52,tel52,twitter52,.,
52,mail53,Name53,mat53,ITC,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,"Me gusta la música, los chistes malos y las películas. 

",Drama,Rock,Sí,Sí,"Sí, pero no sé bailar",Otro,Barbacoa,Ninguno,Pato,Cookies and cream,Día de la Independencia,Invierno,Sí,Cine ,No,Tauro,Sí,Sí,Perros,Película,Subtitulada,Frio,Emmanuel,Manipular el tiempo,Empatía,Respetuoso,insta53,tel53,twitter53,.,
53,mail54,Name54,mat54,IMT,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,No,Amistad,alto bronceado y guapo,Drama,"Pop, Instrumental, Rock, Metal, Reggaeton, Cumbia, Electrónica, Banda, Kpop",No,Sí,"Sí, pero no sé bailar","Basquetbol, Futbol Americano, Otro",Carne asada,Howard,Pingüino,Chocomenta,Año nuevo,Invierno,Sí,road trip con música ,Sí,Virgo,Sí,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Manipular el tiempo,Alegría,Divertido,insta54,tel54,twitter54,.,
54,mail55,Name55,mat55,IBM,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,Amo tanto la vida fit como amo comer,Comedia,Pop,No,No,"Sí, pero no sé bailar","Futbol, Natación, Ciclismo",Canasta-/Al vapor,Leonard,Ballena,Fresa,Día de la Independencia,Verano,Sí,En la naturaleza,Sí,Escorpio,Sí,Sí,Perros,Libro,Doblada,Frio,Arturo Elías Ayub,Control Mental y manipulación,Interesante,Alegre,insta55,tel55,twitter55,.,
55,mail56,Name56,mat56,BCT,6,Soltero,Estoy aquí en busca de amigxs,Masculino,Él,21,Sí,Sí,Amistad,"Me gusta jugar al tennis, videojuegos, viajar, idiomas y demas.",Terror,"Pop, Reggaeton",Sí,Sí,"Sí, pero no sé bailar","Tennis, Otro",Barbacoa,Sheldon,Pingüino,Pistache,San Valentín,Invierno,Sí,Cualquier lugar con que no sea algo común como el cine,No,Escorpio,No,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Confianza,Confiable,insta56,tel56,twitter56,.,
56,mail57,Name57,mat57,LCMD,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,No,Amistad,"Me gusta bailar, cantar, estoy en el repre de porristas y mi color favorito es el plateado",Comedia,"Pop, Reggaeton",No,Sí,Sí,"Futbol, Futbol Americano",Pastor,Ninguno,Lobo,Nuez,Navidad,Primavera,Sí,Sería en un restaurante italiano,Sí,Piscis,Sí,Sí,Gatos,Libro,Subtitulada,Calor,Patricia Armendáriz,Teletransporte,Respeto,Perseverante,insta57,tel57,twitter57,.,
57,mail58,Name58,mat58,IDS,6,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,Sí,Amistad,"Me gusta leer, pintar, bailar y aprender idiomas:)) veo mucho anime lol y me gustan los piercings y tatuajes. Tmb soy vegana, bisexual y me identifico como mujer y me gustaría más amigues queer<3 ",Suspenso,"Pop, Rock",Sí,No,Sí,No,Vegetariano,Ninguno,Ballena,Fresa,Día de la Independencia,Verano,Sí,Un picnic y pintar<3 ,Sí,Tauro,Sí,Sí,Perros,Libro,Subtitulada,Calor,Emmanuel,Teletransporte,Alegría,Empátic@,insta58,tel58,twitter58,.,
58,mail59,Name59,mat59,ARQ,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Género fluido,Ella,19,Sí,No,Amistad,"Me considero muy extrovertida, me gusta mucho el deporte/ejercicio, ir a conciertos, fiestas, reuniones tranquilas y cualquier actividad que pueda disfrutar (no importa el lugar)",Suspenso,Electrónica,No,Sí,"Sí, pero no sé bailar","Futbol, Basquetbol",Canasta-/Al vapor,Howard,Pato,Napolitano,Día de la Independencia,Primavera,No,Solo busco amigos :),Sí,Tauro,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Diversión,Divertido,insta59,tel59,twitter59,.,
59,mail60,Name60,mat60,ARQ,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,"Soy peruana pero llevo viviendo en Mty 5 años, me gusta pintar, dibujar, cantar, bailar, escuchar música, leer, pasear al aire libre. Me considero una persona alegre, cariñosa, confiable, honesta, responsable. ",Acción,"Pop, Rock, Cumbia, Kpop",Sí,Sí,Sí,No,Carne asada,Amy,Lobo,Vanilla,Año nuevo,Invierno,No,Ir a un café o un arcade ,Sí,Cáncer,Sí,Sí,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Teletransporte,Alegría,Cariños@,insta60,tel60,twitter60,.,
60,mail61,Name61,mat61,LEI,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,19,No,No,Amistad,Leyenda Norteña,Terror,"Pop, Reggaeton",Sí,No,Sí,Otro,Pastor,Penny,Pato,Fresa,Día de la Independencia,Primavera,No,Un cafecito o una nieve y platicar de todo :) (aclarando que sería una salida de amigos vdd) ,Sí,Aries,Sí,No,Perros,Película,Subtitulada,Frio,Carlos Bremer,Dinero como el batman,Diversión,Interesante,insta61,tel61,twitter61,.,
61,mail62,Name62,mat62,IIS,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,"Me gusta jugar baloncesto, me río demasiado pero soy algo penosa :)",Acción,Pop,No,Sí,"Sí, pero no sé bailar",Basquetbol,Pastor,Ninguno,Lobo,Fresa,Día de la Independencia,Primavera,Sí,En un lugar tranquilo... Un parque quizá ,Sí,Aries,Sí,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Teletransporte,Confianza,Alegre,insta62,tel62,twitter62,.,
62,mail63,Name63,mat63,LC,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,No,Amistad,"Conservo puro dato inútil en mi cerebro, a veces soy graciosa, saco buena plática.",Acción,"Pop, Rock",Sí,Sí,Sí,No,Pastor,,Lobo,Cookies and cream,Día de la Independencia,Invierno,Sí,"Bosque, picnic",Sí,Cáncer,No,Sí,Gatos,Libro,Doblada,Frio,Rodrigo Herrera,Telekinesis,Responsabilidad,Cariños@,insta63,tel63,twitter63,.,
63,mail64,Name64,mat64,IAL,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Me llamo Sofia, tengo 20 años, me encanta pasar tiempo con mis amigxs, platicar, escuchar música y cocinar",Comedia,"Pop, Rock, Reggaeton",No,No,"Sí, pero no sé bailar",Natación,Canasta-/Al vapor,Ninguno,Pingüino,Fresa,San Valentín,Primavera,Sí,un parque o un museo,Sí,Acuario,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Telekinesis,Confianza,Empátic@,insta64,tel64,twitter64,.,
64,mail65,Name65,mat65,IQ,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Hola soy Carolina Tamez, tengo 20 años. soy IQ. 1.70cm, pelo café y ojos cafés. juego basquetbol, tenis y fútbol. amo ver series y películas de todo. me va bien en clases pero casi no participo (soy media penosa). mi equipo favorito de fútbol americano son los bills.",Acción,Pop,No,No,"Sí, pero no sé bailar","Futbol, Basquetbol, Tennis, Futbol Americano, Golf, Natación, Otro",Pastor,Ninguno,Tigre,Chocolate,Día de la Independencia,Otoño,No,"jugando algún deporte (tenis) o ir a ver algún deporte o picnic/parque, ir al HEB a comprar el mandado",No,Capricornio,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Carlos Bremer,Teletransporte,Diversión,Inteligente,insta65,tel65,twitter65,.,
65,mail66,Name66,mat66,LRI,4,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,Soy una persona muy abierta ,Acción,Reggaeton,No,No,Sí,Tennis,Pastor,Ninguno,Tigre,Vanilla,Día de muertos,Verano,No,Un picnic :) ,No,Leo,Sí,Sí,Perros,Libro,Doblada,Calor,Carlos Bremer,Volar,Alegría,Divertido,insta66,tel66,twitter66,.,
66,mail67,Name67,mat67,IDS,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,"Me encanta viajar, pintar, leer, escuchar música, ver series/películas, hacer ejercicio, y comer✨",Romance,Rock,No,No,Sí,No,Barbacoa,Sheldon,Ballena,Vanilla,Halloween,Verano,Sí,En la playa,Sí,Escorpio,Sí,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Alegría,Empátic@,insta67,tel67,twitter67,.,
67,mail68,Name68,mat68,IMT,4,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,"Holaaa, soy Alex, son un chico divertido, buena onda, me gusta hacer amigos y amigas, me considero muy sociable, organizado, respetuoso; soy Dj, me gusta escuchar y mezclar música, jugar videojuegos, ver películas, soy fan de Marvel, me gusta la tecnología, y salir a divertirme con mis amig@s 🤙🏻 ",Acción,"Pop, Instrumental, Cumbia, Electrónica",Sí,Sí,Sí,"Futbol Americano, Natación",Pastor,Ninguno,Tigre,Chocolate,Día de la Independencia,Verano,Sí,"En la playa en un atardecer, en las montañas frente a un lago como picnic y cabaña ",Sí,Acuario,Sí,Sí,Gatos,Libro,Doblada,Calor,Marcus Dantus,Teletransporte,Confianza,Confiable,insta68,tel68,twitter68,.,
68,mail69,Name69,mat69,Prepa ,6,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,17,Sí,Sí,Amistad,Me gustan mucho conocer a las personas y ser su amigo ,Acción,Pop,No,Sí,Sí,Otro,Pastor,Leonard,Pingüino,Vanilla,Día de la Independencia,Primavera,No,"Ir a patinar , película y cena ",Sí,Tauro,Sí,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Volar,Confianza,Divertido,insta69,tel69,twitter69,.,
69,mail70,Name70,mat70,IC,2,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,No,Amistad,"Soy una persona super positiva, siempre estoy sonriendo, me gusta mucho leer, ir al cine, ayudar a los demás, etc. soy muy participativa. ",Acción,Pop,No,Sí,"Sí, pero no sé bailar","Futbol, Otro",Pastor,Amy,Lobo,Chocolate,Halloween,Invierno,Sí,En un parque de diversiones o un game center,No,Escorpio,Sí,Sí,Perros,Libro,Doblada,Frio,Rodrigo Herrera,Telepatía,Confianza,Alegre,insta70,tel70,twitter70,.,
70,mail71,Name71,mat71,LC,2,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,Sí,Amistad,"me gusta escribir, ver películas, el teatro, automovilismo, deportes, el arte en general y escuchar música",Drama,"Pop, Rock",No,No,"Sí, pero no sé bailar","Tennis, Otro",Pastor,Raj,Tigre,Nuez,San Valentín,Otoño,No,museo o en casa,Sí,Acuario,No,Sí,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Teletransporte,Respeto,Responsable,insta71,tel71,twitter71,.,
71,mail72,Name72,mat72,INCQ,6,En una relación,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,Según mi mamá doy risa,Suspenso,"Pop, Rock, Metal, Reggaeton, Cumbia, Banda",No,Sí,Sí,"Tennis, Futbol Americano, Natación",Pastor,Ninguno,Pingüino,Cookies and cream,Día de la Independencia,Invierno,No,En el cine,No,Virgo,No,Sí,Perros,Película,Subtitulada,Calor,Arturo Elías Ayub,Teletransporte,Diversión,Divertido,insta72,tel72,twitter72,.,
72,mail73,Name73,mat73,Imt,2,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,18,Sí,Sí,Amistad,"Soy alguien cariñoso, divertido(payaso), juego voley y ajedrez",Terror,"Pop, Cumbia, Electrónica, Banda",Sí,Sí,"Sí, pero no sé bailar",Otro,Carne asada,Howard,Lobo,Vanilla,Halloween,Invierno,No,En una cafetería en la mañana o en un parque ,Sí,Piscis,Sí,No,Perros,Película,Subtitulada,Frio,Arturo Elías Ayub,Dinero como el batman,Confianza,Cariños@,insta73,tel73,twitter73,.,
73,mail74,Name74,mat74,IM,2,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,18,Sí,Sí,Amistad,Tengo 18 años me gusta escuchar música ,Romance,"Pop, Reggaeton",No,No,Sí,"Futbol, Futbol Americano",Barbacoa,Amy,Lobo,Chocolate,Halloween,Otoño,No,En un lugar tranquilo,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Carlos Bremer,Volar,Confianza,Empátic@,insta74,tel74,twitter74,.,
74,mail75,Name75,mat75,MC,6,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,Sí,Amistad,"Soy de Tijuana. Me gusta pintar, hacer hiking y viajar. Fan de ir a cafecitos nuevos.",Terror,"Pop, Rock, Reggaeton",No,No,Sí,No,Barbacoa,Ninguno,Tigre,Chocolate,Año nuevo,Otoño,No,Museo,No,Piscis,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Patricia Armendáriz,Telekinesis,Perseverancia,Perseverante,insta75,tel75,twitter75,.,
75,mail76,Name76,mat76,ARQ,3,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,"Quiero hacer amigos, me gusta la fiesta cuando se podía, me gusta lo asiático, viajar, leer. ",Drama,Kpop,Sí,No,"Sí, pero no sé bailar",No,Canasta-/Al vapor,Ninguno,Lobo,Vanilla,Navidad,Invierno,Sí,"En dónde sea, mientras sea divertido y especial. ",Sí,Sagitario,Sí,Sí,Gatos,Libro,Subtitulada,Frio,Arturo Elías Ayub,Dinero como el batman,Respeto,Fiel,insta76,tel76,twitter76,.,
76,mail77,Name77,mat77,LAD,3,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Masculino,Él,20,Sí,Sí,Amistad,"Me gusta dibujar, ver series, anime a veces. Soy mucho de hacer cosas manuales o de pintar. Me interesa mucho lo relacionado a cuidado personal ( mascarillas, ejercicio tipo calistenia, cuidado del cabello, etc)",Acción,"Pop, Instrumental, Rock, Electrónica",Sí,Sí,"Sí, pero no sé bailar",Otro,Pastor,Leonard,Pingüino,Caramelo,Spring Break,Primavera,Sí,"Cita nosep pero me gusta la naturaleza, tipo fundidora o Chipinque, también el cine y de vez en cuando bar o antro",No,Cáncer,Sí,Sí,Gatos,Película,Subtitulada,Calor,Marcus Dantus,Telekinesis,Empatía,Cariños@,insta77,tel77,twitter77,.,
77,mail78,Name78,mat78,IMD,4,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,20,Sí,No,Amistad,soy vero y me gusta el pan,Drama,Pop,Sí,No,Sí,No,Pastor,Ninguno,Pingüino,Chocolate,Spring Break,Otoño,Sí,En un cafe,No,Libra,No,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Manipular el tiempo,Empatía,Empátic@,insta78,tel78,twitter78,.,
78,mail79,Name79,mat79,IBT,4,Soltero,Estoy aquí en busca de amigxs,Femenino,Ella,19,Sí,No,Amistad,,Suspenso,Pop,No,Sí,"Sí, pero no sé bailar",No,Pastor,Penny,Lobo,Chocomenta,Spring Break,Invierno,No,En el cine,Sí,Géminis,Sí,Sí,Perros,Libro,Subtitulada,Frio,Patricia Armendáriz,Control Mental y manipulación,Diversión,Alegre,insta79,tel79,twitter79,.,
79,mail80,Name80,mat80,IID,10,En una relación,Estoy aquí en busca de amigxs,Femenino,Ella,22,Sí,Sí,Amistad,Mi nombre es Myriam soy una persona friendly super curiosa divertida amable émpatica con muchas cualidades. Me encanta bailar y tambien me gustan los deportes como tenis y yoga me encantan los temas de espiritualidad. AMO la idea de viajar conocer lugares nuevos incluido Australia y New Zeland!! También soy fan de los lugares al aire libre. ,Comedia,"Pop, Rock, Reggaeton, Cumbia",No,No,Sí,Tennis,Pastor,Ninguno,Pato,Chocolate,San Valentín,Verano,No,-,Sí,Leo,Sí,Sí,Perros,Película,Subtitulada,Calor,Carlos Bremer,Volar,Diversión,Empátic@,insta80,tel80,twitter80,.,
80,mail81,Name81,mat81,LPS,8,Estoy aquí en busca de amigxs,Estoy aquí en busca de amigxs,Femenino,Ella,21,Sí,Sí,Amistad,,Terror,"Pop, Reggaeton",Sí,No,Sí,No,Guisos,Penny,Tigre,Chocolate,San Valentín,Primavera,Sí,En un café ,Sí,Aries,Sí,Sí,Perros,Película,Subtitulada,Frio,Patricia Armendáriz,Volar,Alegría,Empátic@,insta81,tel81,twitter81,.,
